Trial, Learning Rate, Gamma, Activation Function, Action Size, Sequence length, Validation Reward
0,0.003083619832717714,0.29946064465337385,168,200,48,-656.8670000000003
0,0.00013046057972117866,0.2343270874335818,48,200,7,-955.0289156504751
1,9.486100481223534e-05,0.14462491333299904,168,500,48,-1103.340362723225
2,9.795993275293547e-05,0.2543376107444906,48,200,48,-915.9217792028037
3,1.741604658688057e-05,0.144062581640074,48,100,24,-1017.9481574859708
0,3.5556205969433285e-05,0.2685724502267215,24,200,24,-949.8385844444446
0,0.00033128497824677714,0.1505085820842485,48,500,7,-871.8753140306538
1,0.0024014420661965337,0.10731571526631843,24,500,7,-884.9334867496223
