Trial,Learning Rate,Gamma,Activation Function,Action Size,Validation Reward
0,0.0014654527516315154,0.7834514859034255,relu,200,-162.03489799999983
1,0.00355305683201347,0.8553793169289597,relu,500,-191.6399659999999
0,0.0048175315025205945,0.9580711957437402,tanh,500,-164.43195799999984
1,0.005371675633490692,0.8094827724992117,tanh,100,-179.88313999999988
2,0.00022638816634033026,0.8904859355155454,relu,500,-179.17989799999984
0,0.0020574476129349845,0.7151347425221666,relu,500,-897.6884444444445
1,0.0033102240140731915,0.7494594586441072,tanh,200,-789.8048888888891
0,0.000761057149522146,0.6745340812375066,tanh,100,-858.3528888888893
1,0.009494453793795796,0.6163465096903522,relu,500,-868.2314666666671
2,2.0520035066478282e-05,0.9128888767992502,tanh,200,-881.2024888888893
0,0.0015935375191721518,0.7005144703170781,tanh,500,-842.5360888888888
1,0.002227824608924483,0.8637405551363901,tanh,100,-840.3202222222226
2,0.00010435511476431242,0.7882404562212988,tanh,100,-761.6153555555552
3,0.0018134734882297905,0.7856099156493339,relu,100,-845.8735111111115
4,1.4684513945614193e-05,0.6675207616043457,relu,200,-853.6046222222225
5,0.005087638442748009,0.9529771154153375,tanh,100,-841.6084000000001
6,8.523878179638115e-05,0.5064447092507619,tanh,200,-843.3680000000006
7,0.00027752397362689005,0.6208180126434485,tanh,200,-856.6211111111115
8,0.00137223204973089,0.8687790899818258,relu,100,-845.3488000000003
9,0.00013587239801362286,0.5609470732698912,tanh,200,-849.0218222222227
