Trial,Learning Rate,Gamma,Action Size,Validation Reward
0,0.002695804972652553,0,12,-854.6235000000021
0,0.00037804935547833615,0,12,-993.2757222222224
0,0.0016085144751204685,0,12,-759.9978888888894
0,0.00037880649300750145,0,12,-1335.2384061111147
0,0.001910694661969257,0,10,3,2,-889.9626908024683
1,0.0004668904053511933,0,10,4,32,-726.735111111112
